"FilingID","ReferenceID","Disclosure Type","CRD Number","Affiliate Type","Registered","Affiliate Name"
1992519,1723429,"Regulatory Action",,"Firm","N","JANUS HENDERSON GROUP PLC"
1997068,1726006,"Civil Judicial Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726007,"Civil Judicial Action",282933,"Firm","Y","VANGUARD INVESTMENTS AUSTRALIA LIMITED"
1997068,1726008,"Regulatory Action",282933,"Firm","Y","VANGUARD INVESTMENTS AUSTRALIA LIMITED"
1997068,1726009,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726010,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726011,"Regulatory Action",164593,"Firm","Y","VANGUARD GLOBAL ADVISERS, LLC"
1997068,1726012,"Regulatory Action",7452,"Firm","Y","VANGUARD MARKETING CORPORATION"
1997068,1726013,"Regulatory Action",282933,"Firm","Y","VANGUARD INVESTMENTS AUSTRALIA LIMITED"
1997068,1726014,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726015,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726016,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726017,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726018,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726019,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726020,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726021,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726022,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726023,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726024,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726025,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726026,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726027,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726028,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726029,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726030,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726031,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726032,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726033,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726034,"Regulatory Action",282933,"Firm","Y","VANGUARD INVESTMENTS AUSTRALIA LIMITED"
1997068,1726035,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726036,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726037,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726038,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726039,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726040,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726041,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997068,1726042,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726454,"Civil Judicial Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726455,"Civil Judicial Action",282933,"Firm","Y","VANGUARD INVESTMENTS AUSTRALIA LIMITED"
1997880,1726456,"Regulatory Action",282933,"Firm","Y","VANGUARD INVESTMENTS AUSTRALIA LIMITED"
1997880,1726457,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726458,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726459,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726460,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726461,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726462,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726463,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726464,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726465,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726466,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726467,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726468,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726469,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726470,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726471,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726472,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726473,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726474,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726475,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726476,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726477,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726478,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726479,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726480,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726481,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726482,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726483,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726484,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
1997880,1726485,"Regulatory Action",105958,"Firm","Y","VANGUARD GROUP INC"
